Architecture,Loss,Accuracy,95% CI,QWK
ConvNeXt-L,CE,0.713±0.002,"[0.706,0.720]",0.865±0.001
ConvNeXt-L,CORAL,0.681±0.006,"[0.662,0.700]",0.861±0.006
EfficientNet-B0,CE,0.486±0.011,"[0.452,0.521]",0.652±0.030
EfficientNet-B0,CORAL,0.601±0.011,"[0.567,0.635]",0.805±0.003
DenseNet201,CE,0.652±0.003,"[0.644,0.661]",0.805±0.002
DenseNet201,CORAL,0.618±0.012,"[0.583,0.653]",0.817±0.008
Xception,CE,0.605±0.019,"[0.546,0.664]",0.748±0.013
Xception,CORAL,0.533±0.024,"[0.460,0.607]",0.764±0.013
Swin-T,CE,0.687±0.015,"[0.642,0.732]",0.843±0.006
Swin-T,CORAL,0.671±0.004,"[0.660,0.683]",0.844±0.002
