Architecture,Task,Accuracy,CI Acc,AUC,CI AUC
ConvNeXt-L,Screening (KL≥1),0.842±0.005,"[0.826,0.858]",0.926±0.002,"[0.919,0.934]"
ConvNeXt-L,OA (KL≥2),0.878±0.002,"[0.872,0.883]",0.952±0.000,"[0.951,0.952]"
ConvNeXt-L,Severe (KL≥3),0.961±0.005,"[0.947,0.975]",0.990±0.000,"[0.989,0.991]"
EfficientNet-B0,Screening (KL≥1),0.697±0.020,"[0.636,0.758]",0.767±0.027,"[0.685,0.849]"
EfficientNet-B0,OA (KL≥2),0.761±0.011,"[0.728,0.795]",0.830±0.014,"[0.787,0.874]"
EfficientNet-B0,Severe (KL≥3),0.888±0.003,"[0.880,0.897]",0.922±0.008,"[0.897,0.947]"
DenseNet201,Screening (KL≥1),0.787±0.004,"[0.775,0.800]",0.875±0.006,"[0.855,0.894]"
DenseNet201,OA (KL≥2),0.835±0.002,"[0.829,0.840]",0.915±0.003,"[0.905,0.924]"
DenseNet201,Severe (KL≥3),0.943±0.008,"[0.919,0.967]",0.974±0.004,"[0.962,0.987]"
Xception,Screening (KL≥1),0.774±0.005,"[0.759,0.789]",0.864±0.003,"[0.853,0.874]"
Xception,OA (KL≥2),0.812±0.006,"[0.795,0.830]",0.893±0.001,"[0.891,0.895]"
Xception,Severe (KL≥3),0.940±0.005,"[0.925,0.955]",0.965±0.006,"[0.946,0.983]"
Swin-T,Screening (KL≥1),0.819±0.002,"[0.814,0.825]",0.908±0.004,"[0.896,0.920]"
Swin-T,OA (KL≥2),0.858±0.008,"[0.832,0.884]",0.935±0.006,"[0.918,0.952]"
Swin-T,Severe (KL≥3),0.952±0.010,"[0.923,0.981]",0.987±0.001,"[0.984,0.990]"
